10TH,TENTH
11TH,ELEVENTH
12TH,TWELFTH
13TH,THIRTEENTH
14TH,FOURTEENTH
15TH,FIFTEENTH
16TH,SIXTEENTH
17TH,SEVENTEENTH
18TH,EIGHTEENTH
19TH,NINETEENTH
1ST,FIRST
20TH,TWENTIETH
21ST,TWENTYFIRST
22ND,TWENTYSECOND
23RD,TWENTYTHIRD
24TH,TWENTYFOURTH
25TH,TWENTYFIFTH
26TH,TWENTYSIXTH
27TH,TWENTYSEVENTH
28TH,TWENTYEIGHTH
29TH,TWENTYNINTH
2ND,SECOND
30TH,THIRTIETH
31ST,THIRTYFIRST
32ND,THIRTYSECOND
33RD,THIRTYTHIRD
34TH,THIRTYFOURTH
35TH,THIRTYFIFTH
36TH,THIRTYSIXTH
37TH,THIRTYSEVENTH
38TH,THIRTYEIGHTH
39TH,THIRTYNINTH
3RD,THIRD
40TH,FORTIETH
41ST,FORTYFIRST
42ND,FORTYSECOND
43RD,FORTYTHIRD
44TH,FORTYFOURTH
45TH,FORTYFIFTH
46TH,FORTYSIXTH
47TH,FORTYSEVENTH
48TH,FORTYEIGHTH
49TH,FORTYNINTH
4TH,FOURTH
50TH,FIFTIETH
51ST,FIFTYFIRST
52ND,FIFTYSECOND
53RD,FIFTYTHIRD
54TH,FIFTYFOURTH
55TH,FIFTYFIFTH
56TH,FIFTYSIXTH
57TH,FIFTYSEVENTH
58TH,FIFTYEIGHTH
59TH,FIFTYNINTH
5TH,FIFTH
60TH,SIXTIETH
61ST,SIXTYFIRST
62ND,SIXTYSECOND
63RD,SIXTYTHIRD
64TH,SIXTYFOURTH
65TH,SIXTYFIFTH
66TH,SIXTYSIXTH
67TH,SIXTYSEVENTH
68TH,SIXTYEIGHTH
69TH,SIXTYNINTH
6TH,SIXTH
70TH,SEVENTIETH
71ST,SEVENTYFIRST
72ND,SEVENTYSECOND
73RD,SEVENTYTHIRD
74TH,SEVENTYFOURTH
75TH,SEVENTYFIFTH
76TH,SEVENTYSIXTH
77TH,SEVENTYSEVENTH
78TH,SEVENTYEIGHTH
79TH,SEVENTYNINTH
7TH,SEVENTH
80TH,EIGHTIETH
81ST,EIGHTYFIRST
82ND,EIGHTYSECOND
83RD,EIGHTYTHIRD
84TH,EIGHTYFOURTH
85TH,EIGHTYFIFTH
86TH,EIGHTYSIXTH
87TH,EIGHTYSEVENTH
88TH,EIGHTYEIGHTH
89TH,EIGHTYNINTH
8TH,EIGHTH
90TH,NINETIETH
91ST,NINETYFIRST
92ND,NINETYSECOND
93RD,NINETYTHIRD
94TH,NINETYFOURTH
95TH,NINETYFIFTH
96TH,NINETYSIXTH
97TH,NINETYSEVENTH
98TH,NINETYEIGHTH
99TH,NINETYNINTH
9TH,NINTH
AB,ALBERTA
AK,ALASKA
AL,ALABAMA
ALABAMA,AL
ALASKA,AK
ALBERTA,AB
AR,ARKANSAS
ARIZONA,AZ
ARKANSAS,AR
AVE,AVENUE
AVENUE,AVE
AZ,ARIZONA
BC,BRITISH COLUMBIA
CA,CALIFORNIA
CALIFORNIA,CA
CO,COLORADO
COLORADO,CO
CONN,CT
CONNECTICUT,CT
CR,COUNTY ROAD
CT,CONNECTICUT
DC,DISTRICT OF COLUMBIA
DE,DELAWARE
DELAWARE,DE
E,EAST
EAST,E
EST,E
EIGHTEENTH,18TH
EIGHTH,8TH
EIGHTIETH,80TH
EIGHTYEIGHTH,88TH
EIGHTY-EIGHTH,88TH
EIGHTYFIFTH,85TH
EIGHTY-FIFTH,85TH
EIGHTYFIRST,81ST
EIGHTY-FIRST,81ST
EIGHTYFOURTH,84TH
EIGHTY-FOURTH,84TH
EIGHTYNINTH,89TH
EIGHTY-NINTH,89TH
EIGHTYSECOND,82ND
EIGHTY-SECOND,82ND
