ABBY,ABBEY
ACCES,ACC
ACRES,ACRS
ALLEE,ALY
ALLEY,ALY
ALL…E,ALY
ALLY,ALY
ANEX,ANX
ANNEX,ANX
ANNX,ANX
APPROACH,APPR
ARCADE,ARC
AUT,AU
AUTOROUTE,AU
AV,AVE
AVEN,AVE
AVENIDA,AVE
AVENU,AVE
AVENUE,AVE
AVN,AVE
AVNUE,AVE
BAYOO,BYU
BAYOU,BYU
BEACH,BCH
BEND,BND
BL,BLVD
BLUF,BLF
BLUFF,BLF
BLUFFS,BLFS
BLV,BLVD
BOT,BTM
BOTTM,BTM
BOTTOM,BTM
BOUL,BLVD
BOULEVARD,BLVD
BOULV,BLVD
BRANCH,BR
BRDGE,BRG
BRIDGE,BRG
BRNCH,BR
BROOK,BRK
BROOKS,BRKS
BURG,BG
BURGS,BGS
BYPA,BYP
BYPAS,BYP
BYPASS,BYP
BYPS,BYP
BYWAY,BYWAY
CALLE,CLL
CAMINITO,CMT
CAMP,CP
CANYN,CYN
CANYON,CYN
CAPE,CPE
CARRE,CA
CARR…,CAR
CARREFOUR,CARREF
CAUSEWAY,CSWY
CAUSWAY,CSWY
C,CTR
CEN,CTR
CENT,CTR
CENTER,CTR
CENTERS,CTRS
CENTR,CTR
CENTRE,CTR
CERRADA,CER
CHASE,CHAS
CHEMIN,CH
CI,CIR
CIRC,CIR
CIRCL,CIR
CIRCLE,CIR
CIRCLES,CIRS
CIRCUIT,CIRCT
CIRCULO,CIR
CLIFF,CLF
CLIFFS,CLFS
CLOSE,CLOS
CLUB,CLB
CMP,CP
CNTER,CTR
CNTR,CTR
CNYN,CYN
COMMON,CMN
COMMONS,CMNS
CONCSSN,CONC
CONCESSION,CONC
CORNER,COR
CORNERS,CORS
COTE,CO
COURSE,CRSE
COURT,CT
COURTS,CTS
COVE,CV
COVES,CVS
CRCL,CIR
CRCLE,CIR
CREEK,CRK
CRESCENT,CRES
CREST,CRST
CROIS,CR
CROISSANT,CR
CROSSING,XING
CROSSROAD,XRD
CROSSROADS,XRDS
CRSENT,CRES
CRSNT,CRES
CRSSNG,XING
CRT,CT
CUL-DE-SA,CDS
CURVE,CURV
C‘TE,CO
DALE,DL
DAM,DM
DIV,DV
DIVIDE,DV
DOWNS,DWNS
DRIV,DR
DRIVE,DR
DRIVES,DRS
DRIVEWAY,DRWY
DRV,DR
DVD,DV
ECHANGEUR,ECH
…CHANGEUR,…CH
ENTRADA,ENT
ESPLANADE,ESPL
ESTATE,EST
ESTATES,ESTS
EXP,EXPY
EXPR,EXPY
EXPRESS,EXPY
EXPRESSWA,EXPY
EXPRESSWAY,EXPY
EXPW,EXPY
EXTENSION,EXT
EXTENSIONS,EXTS
EXTN,EXT
EXTNSN,EXT
FERRY,FRY
FIELD,FLD
FIELDS,FLDS
FLAT,FLT
FLATS,FLTS
FALLS,FLS
FORD,FRD
FORDS,FRDS
FOREST,FRST
FORESTS,FRST
FORG,FRG
FORGE,FRG
FORGES,FRGS
FORK,FRK
FORKS,FRKS
FORT,FT
FREEWAY,FWY
FREEWY,FWY
FRRY,FRY
FRT,FT
FRWAY,FWY
FRWY,FWY
GARDEN,GDN
GARDENS,GDNS
GARDN,GDN
GATEWAY,GTWY
GATEWY,GTWY
GATWAY,GTWY
GLEN,GLN
GLENS,GLNS
GRDEN,GDN
GRDN,GDN
GRDNS,GDNS
GREEN,GRN
GREENS,GRNS
GROUNDS,GRNDS
GROV,GRV
GROVE,GRV
GROVES,GRVS
GTWAY,GTWY
HARB,HBR
HARBOR,HBR
HARBORS,HBRS
HARBOUR,HRBR
HARBR,HBR
HAVEN,HVN
HEIGHTS,HTS
HIGHLANDS,HGHLDS
HIGHWAY,HWY
HIGHWY,HWY
HILANDS,HGHLDS
HILL,HL
HILLS,HLS
HIWAY,HWY
HIWY,HWY
HLLW,HOLW
HOLLOW,HOLW
HOLLOWS,HOLW
HOLWS,HOLW
HRBOR,HBR
HT,HTS
HW,HWY
HWAY,HWY
IMPASSE,IMP
INLET,INLT
ISLAND,IS
ISLANDS,ISS
ISLE,ISS
ISLES,ISLE
ISLND,ISS
ISLNDS,ISS
JCTION,JCT
JCTN,JCT
JCTNS,JCTS
JONCTION,JCT
JUNCTION,JCT
JUNCTIONS,JCTS
JUNCTN,JCT
JUNCTON,JCT
KEY,KY
