#,UNIT
A,PREFIX
AB,ST_SPECIAL
ACC,SUFFIX1
ACRES,SUFFIX1
ACRS,SUFFIX1
AK,ST_SPECIAL
AL,ST_SPECIAL
ALA,PREFIX
ALLEY,SUFFIX1
ALLY,SUFFIX1
ALY,SUFFIX1
ANEX,SUFFIX1
ANNEX,SUFFIX1
ANNX,SUFFIX1
ANX,SUFFIX1
APARTMENT,UNIT
APPR,SUFFIX1
APPROACH,SUFFIX1
APT,UNIT
AR,ST_SPECIAL
ARC,SUFFIX1
AU,PREFIX
AUX,PREFIX
AVE,SUFFIX1
AVEN,SUFFIX1
AVN,SUFFIX1
AVNUE,SUFFIX1
AZ,ST_SPECIAL
BASEMENT,UNIT
BAYOO,SUFFIX1
BAYOU,SUFFIX1
BCH,SUFFIX1
BEACH,SUFFIX1
BEND,SUFFIX1
BG,SUFFIX1
BGS,SUFFIX1
BLDG,UNIT
BLF,SUFFIX1
BLFS,SUFFIX1
BLUF,SUFFIX1
BLUFF,SUFFIX1
BLUFFS,SUFFIX1
BLV,SUFFIX1
BLVD,FR_SUFFIX
BND,SUFFIX1
BOT,SUFFIX1
BOTTM,SUFFIX1
BOTTOM,SUFFIX1
BOULV,SUFFIX1
BOX,UNIT
BR,SUFFIX1
BRANCH,SUFFIX1
BRDGE,SUFFIX1
BRG,SUFFIX1
BRID,SUFFIX1
BRIDGE,SUFFIX1
BRK,SUFFIX1
BRKS,SUFFIX1
BRNCH,SUFFIX1
BROOK,SUFFIX1
BROOKS,SUFFIX1
BSMT,UNIT
BTM,SUFFIX1
BUILDING,UNIT
BURG,SUFFIX1
BURGS,SUFFIX1
BV,SUFFIX1
BYP,SUFFIX1
BYPA,SUFFIX1
BYPAS,SUFFIX1
BYPASS,SUFFIX1
BYPS,SUFFIX1
BYU,SUFFIX1
CA,SUFFIX1
CALLE,SUFFIX1
CANYN,SUFFIX1
CANYON,SUFFIX1
CAPE,SUFFIX1
CAR,SUFFIX1
CAUSEWAY,SUFFIX1
CAUSWAY,SUFFIX1
CDS,SUFFIX1
CENTER,SUFFIX1
CENTERS,SUFFIX1
CENTR,SUFFIX1
CH,SUFFIX1
CHAS,SUFFIX1
CHASE,SUFFIX1
CI,SUFFIX1
CIR,SUFFIX1
CIRC,SUFFIX1
CIRCL,SUFFIX1
CIRCLE,SUFFIX1
CIRCLES,SUFFIX1
CIRS,SUFFIX1
CL,SUFFIX1
CLB,SUFFIX1
CLF,SUFFIX1
CLFS,SUFFIX1
CLIFF,SUFFIX1
CLIFFS,SUFFIX1
CLOS,SUFFIX1
CLOSE,SUFFIX1
CLUB,SUFFIX1
CMN,SUFFIX1
CMNS,SUFFIX1
CMP,SUFFIX1
CNR,SUFFIX1
CNRS,SUFFIX1
CNTER,SUFFIX1
CNTR,SUFFIX1
CNYN,SUFFIX1
